org_cst_key,org_name,org_ogt_code,org_state_incorporated,n53_municipal_type,org_metropolitan_area_ext,org_fips_place_ext,org_prefix_ext,org_city_name_ext,org_fips_county_subdivision_ext
1e45cf36-6f63-4178-839d-157b921b474f,Allegheny College,College/University,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7b419db5-bc32-4606-a3c5-157c42a94f7f,City of Umatilla,City,OR,City,NULL,4175650,City of,Umatilla,NULL
dba311bc-5254-4a89-90fe-157e586b59f1,Village of Trumansburg,City,NY,Village,NULL,3675506,Village of,Trumansburg,NULL
795812bd-afda-499c-ac82-157eeb310ab9,Town of Somerville,City,AL,Town,NULL,0171496,Town of,Somerville,NULL
533b8a16-f52f-4e48-bee9-15801987c9a7,Town of Johnsburg,City,NY,Town,NULL,3611338715,Town of,Johnsburg,NULL
19605472-e027-4d25-8b9a-158265133c42,City of Bosworth,City,MO,City,NULL,2907426,City of,Bosworth,NULL
7a456e5c-a155-4ae7-9add-158bc0641c28,Town of Harmony,City,WI,Unincorporated Jurisdiction,NULL,5510532700,Town of,Harmony,NULL
7269b175-5368-4020-8361-158c95af2549,Village of Media,City,IL,Village,NULL,1748073,Village of,Media,NULL
30d86fc8-8254-445c-947b-158ddaa577b8,Town of Mountain View,City,WY,Town,NULL,5655345,Town of,Mountain View,NULL
084e4447-bc67-4d7d-9789-158e933f0ec5,Town of Lyndon,City,NY,Town,NULL,3600943896,Town of,Lyndon,NULL
07c76322-7ca4-46f6-a615-1590e9bdb232,City of Ellisville,City,MS,City,NULL,2822020,City of,Ellisville,NULL
8d342600-87a8-41b5-b6ae-159236497ca3,"Center for Social Inclusion, Inc",Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5d87ca95-8f5f-422b-aa1d-15959610be8b,Borough of Morris Plains,City,NJ,Borough,NULL,3448210,Borough of,Morris Plains,NULL
f59df4f7-8406-47b9-8e67-15986ae874fd,Town of Blue Hill,City,ME,Town,NULL,2300905700,Town of,Blue Hill,NULL
3d477e66-196d-48f1-9e31-1599ed3732ae,American Bar Association,Association,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ce9bda17-b418-4da3-ad1c-159a75133b9a,City of Centralia,City,WA,City,16500,5311160,City of,Centralia,NULL
7d868a24-c8ea-4767-a0c3-159c88079521,Village of Moweaqua,City,IL,Village,NULL,1751232,Village of,Moweaqua,NULL
22f6283e-7cbd-4fa8-b500-15a00074d123,Town of Mustang,City,TX,Town,NULL,4850184,Town of,Mustang,NULL
17cd4cfc-7cd0-49df-a980-15a21a999c6a,Rourke and Company,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
815dfc69-4b71-4752-b81e-15a252f00380,City of Salisbury,City,NC,City,NULL,3758860,City of,Salisbury,NULL
97f37e5c-f500-4cc9-a07e-15a39d05fd36,City of Fort Calhoun,City,NE,City,NULL,3117145,City of,Fort Calhoun,NULL
be6de42a-0182-44d0-bb24-15a48a795b50,Borough of Eastvale,City,PA,Borough,NULL,4221968,Borough of,Eastvale,NULL
ad097734-0023-44f8-9279-15a8fd27a604,Borough of Jermyn,City,PA,Borough,NULL,4238096,Borough of,Jermyn,NULL
bdfe2ea8-040b-4fb5-99de-15a91bd86801,City of Perry,City,UT,City,NULL,4959390,City of,Perry,NULL
1032066a-c0eb-49fa-8f12-15aaee2bc257,International Council of Shopping Centers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52125375-5a69-4ffe-bc96-15ab2306bc64,Alvis,Organization,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6d34dff2-6d31-416f-9657-15ac10704e1b,FGR,Organization,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b66da525-18c0-49bb-9b51-15ac173945b3,Town of Revillo,City,SD,Town,NULL,4654220,Town of,Revillo,NULL
ae665917-5a46-4184-affe-15ad4b031e94,City of Umatilla,City,FL,City,NULL,1273025,City of,Umatilla,NULL
9eead7b3-939d-4e2e-bd73-15afe7f9d310,Parish of Caldwell,County,LA,Other,NULL,2299021,NULL,NULL,NULL
ecfb5eec-f08e-474d-9a9c-15b0ee480685,City of Bethany,City,MO,City,NULL,2905068,City of,Bethany,NULL
55c4a47d-0fee-4962-8ac7-15b50d602428,City of Langdon Place,City,KY,City,NULL,2143900,City of,Langdon Place,NULL
e3a36de6-5323-47e3-901b-15b60c285903,Town of Biltmore Forest,City,NC,Town,NULL,3705880,Town of,Biltmore Forest,NULL
835da22c-7ae0-4ff2-a240-15b687558cc3,City of Paxton,City,FL,City,NULL,1255475,City of,Paxton,NULL
1987f4af-2a78-4229-8163-15bcc63441c8,City of Dawson,City,IA,City,NULL,1919135,City of,Dawson,NULL
05c9fac1-6d18-4f2a-9817-15bd6a8ed2d3,Town of Jamestown,City,NC,Town,NULL,3734300,Town of,Jamestown,NULL
7c4f9ff5-888d-4617-8290-15be274af153,Highland Plantation,City,ME,Plantation,NULL,2302532895,NULL,NULL,NULL
5a77792a-8e2e-4e72-9482-15c14948ad5e,Florida Municipal Insurance Trust (Tallahassee) (Risk Pool),Risc Pool,FL,NULL,NULL,NULL,NULL,NULL,NULL
a07b03c2-23da-4e18-857f-15c1544bea4c,"Stafford Publications, Inc.",Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c48c1d21-8c23-4d51-9483-15c25ab9542d,Town of Elm City,City,NC,Town,NULL,3720980,Town of,Elm City,NULL
8ed65aa8-2eb5-40bf-8008-15c57d9f7e06,Town of Gracemont,City,OK,Town,NULL,4030600,Town of,Gracemont,NULL
076d2784-a3b5-4e19-89e6-15c60c2aa793,Town of Portage,City,NY,Town,NULL,3605159179,Town of,Portage,NULL
603f175f-739c-4c45-9091-15c65f40e62a,City of Throckmorton,City,TX,City,NULL,4872896,City of,Throckmorton,NULL
2ebabaa8-971c-44a9-a7df-15c7637f9d79,Borough of Sea Bright,City,NJ,Borough,NULL,3466240,Borough of,Sea Bright,NULL
3a4e5442-5887-4093-a0b4-15c884899487,Town of Plevna,City,MT,Town,NULL,3058450,Town of,Plevna,NULL
